First	Last	Month	Day	Year	Full Name	Birthday
George	Washington	April	30	1789	George Washington	April 30 1789
John	Adams	March	4	1797	John Adams	March 4 1797
Thomas	Jefferson	March	4	1801	Thomas Jefferson	March 4 1801
James	Madison	March	4	1809	James Madison	March 4 1809
James	Monroe	March	4	1817	James Monroe	March 4 1817
John Quincy	Adams	March	4	1825	John Quincy Adams	March 4 1825
Andrew	Jackson	March	4	1829	Andrew Jackson	March 4 1829
Martin	Van Buren	March	4	1837	Martin Van Buren	March 4 1837
William Henry	Harrison	March	4	1841	William Henry Harrison	March 4 1841
John	Tyler	April	4	1841	John Tyler	April 4 1841
James K.	Polk	March	4	1845	James K. Polk	March 4 1845
Zachary	Taylor	March	4	1849	Zachary Taylor	March 4 1849
Millard	Fillmore	July	9	1850	Millard Fillmore	July 9 1850
Franklin	Pierce	March	4	1853	Franklin Pierce	March 4 1853
